State,Latitude,Longitude,Pollutant,Average,Pollutant Standard
Arizona,32.425261,-111.06352,Ozone,0.045018999999999997,Ozone 8-hour 2015
Arizona,32.047670000000004,-110.77435700000001,Ozone,0.046129,Ozone 8-hour 2015
Arizona,32.29515,-110.9823,Ozone,0.045194,Ozone 8-hour 2015
Arizona,31.87952,-110.99643999999999,Ozone,0.04514,Ozone 8-hour 2015
Arizona,32.172995,-110.980134,Ozone,0.04214,Ozone 8-hour 2015
Arizona,32.38082,-111.12716,Ozone,0.04355,Ozone 8-hour 2015
Arizona,33.4214,-111.5436,Ozone,0.047687,Ozone 8-hour 2015
Arizona,32.954361,-111.76225,Ozone,0.045519,Ozone 8-hour 2015
Arizona,32.508306,-111.30805600000001,Ozone,0.045762,Ozone 8-hour 2015
Arizona,33.081703999999995,-111.75294299999999,Ozone,0.049845,Ozone 8-hour 2015
Arizona,33.293465000000005,-111.28559399999999,Ozone,0.050472,Ozone 8-hour 2015
Arizona,34.612055,-112.46321299999998,Ozone,0.046755,Ozone 8-hour 2015
Arizona,32.690278,-114.61443999999999,Ozone,0.045661,Ozone 8-hour 2015
Arkansas,34.1795,-93.0988,Ozone,0.037567,Ozone 8-hour 2015
Arkansas,35.197288,-90.193141,Ozone,0.042022000000000004,Ozone 8-hour 2015
Arkansas,35.832726,-93.20826,Ozone,0.03924,Ozone 8-hour 2015
Arkansas,34.454514,-94.14352099999999,Ozone,0.0415,Ozone 8-hour 2015
Arkansas,34.756189,-92.281296,Ozone,0.035541,Ozone 8-hour 2015
Arkansas,34.835721,-92.260581,Ozone,0.040164,Ozone 8-hour 2015
Arkansas,36.1797,-94.116827,Ozone,0.039985,Ozone 8-hour 2015
Arkansas,36.011703000000004,-94.167436,Ozone,0.039985,Ozone 8-hour 2015
California,37.687526,-121.784217,Ozone,0.038917,Ozone 8-hour 2015
California,37.743065,-122.16993500000001,Ozone,0.029316000000000002,Ozone 8-hour 2015
California,37.814780999999996,-122.282347,Ozone,0.028869,Ozone 8-hour 2015
California,37.864767,-122.302741,Ozone,0.024943,Ozone 8-hour 2015
California,37.654456,-122.031547,Ozone,0.035868000000000004,Ozone 8-hour 2015
California,38.342605999999996,-120.764426,Ozone,0.041902999999999996,Ozone 8-hour 2015
California,39.708453999999996,-121.617309,Ozone,0.044587,Ozone 8-hour 2015
California,39.76168,-121.84047,Ozone,0.040308,Ozone 8-hour 2015
California,38.20185,-120.680277,Ozone,0.043594,Ozone 8-hour 2015
California,39.18919,-121.99887,Ozone,0.037036,Ozone 8-hour 2015
California,37.936013,-122.026154,Ozone,0.038396,Ozone 8-hour 2015
California,38.006311,-121.64191799999999,Ozone,0.037997,Ozone 8-hour 2015
California,37.9604,-122.35681100000001,Ozone,0.033786000000000004,Ozone 8-hour 2015
California,37.743649,-121.93418799999999,Ozone,0.038579,Ozone 8-hour 2015
California,38.725282,-120.82191599999999,Ozone,0.045792,Ozone 8-hour 2015
California,38.811609999999995,-120.033084,Ozone,0.046079,Ozone 8-hour 2015
California,38.890941,-121.003373,Ozone,0.049182,Ozone 8-hour 2015
California,36.705474,-119.741332,Ozone,0.047275,Ozone 8-hour 2015
California,36.785379999999996,-119.77321,Ozone,0.044817,Ozone 8-hour 2015
California,36.841592,-119.87473899999999,Ozone,0.044385,Ozone 8-hour 2015
California,36.985119,-119.65833899999998,Ozone,0.049878,Ozone 8-hour 2015
California,36.634225,-120.38233100000001,Ozone,0.043899,Ozone 8-hour 2015
California,36.597442,-119.50365900000001,Ozone,0.049214999999999995,Ozone 8-hour 2015
California,36.819449,-119.71643300000001,Ozone,0.047682,Ozone 8-hour 2015
California,39.53387,-122.19083400000001,Ozone,0.040744,Ozone 8-hour 2015
