State,Latitude,Longitude,Pollutant,Average,Pollutant Standard
Arizona,33.503833,-112.095767,PM2.5 - Local Conditions,7.719881,PM25 Annual 2012
Arizona,32.322661,-111.038389,PM2.5 - Local Conditions,3.8002910000000005,PM25 Annual 2012
Arizona,32.29515,-110.9823,PM2.5 - Local Conditions,4.977451,PM25 Annual 2012
Arizona,32.29515,-110.9823,PM2.5 - Local Conditions,3.0259259999999997,PM25 Annual 2012
Arizona,32.877583,-111.752222,PM2.5 - Local Conditions,6.892436999999999,PM25 Annual 2012
Arizona,32.877583,-111.752222,PM2.5 - Local Conditions,5.963333,PM25 Annual 2012
Arizona,33.421194,-111.503222,PM2.5 - Local Conditions,4.235345,PM25 Annual 2012
Arizona,32.884761,-112.03705,PM2.5 - Local Conditions,11.372950999999999,PM25 Annual 2012
Arizona,32.884761,-112.03705,PM2.5 - Local Conditions,11.291667,PM25 Annual 2012
Arizona,32.884761,-112.03705,PM2.5 - Local Conditions,10.513833,PM25 Annual 2012
Arizona,31.337203999999996,-110.936718,PM2.5 - Local Conditions,8.377049000000001,PM25 Annual 2012
Arizona,31.337203999999996,-110.936718,PM2.5 - Local Conditions,8.804802,PM25 Annual 2012
Arizona,32.690278,-114.61443999999999,PM2.5 - Local Conditions,7.930685,PM25 Annual 2012
Arkansas,34.518515,-91.55896,PM2.5 - Local Conditions,7.930508000000001,PM25 Annual 2012
Arkansas,33.139471,-91.939208,PM2.5 - Local Conditions,8.195,PM25 Annual 2012
Arkansas,36.459691,-94.205662,PM2.5 - Local Conditions,8.660839,PM25 Annual 2012
Arkansas,36.435171999999994,-94.229248,PM2.5 - Local Conditions,7.772603,PM25 Annual 2012
Arkansas,35.837638,-90.679516,PM2.5 - Local Conditions,7.524489999999999,PM25 Annual 2012
Arkansas,35.197288,-90.193141,PM2.5 - Local Conditions,8.278151,PM25 Annual 2012
Arkansas,34.469440999999996,-93.000178,PM2.5 - Local Conditions,8.827273,PM25 Annual 2012
Arkansas,34.469440999999996,-93.000178,PM2.5 - Local Conditions,8.87931,PM25 Annual 2012
Arkansas,35.637283000000004,-91.188906,PM2.5 - Local Conditions,8.169231,PM25 Annual 2012
Arkansas,34.583698999999996,-94.22623399999999,PM2.5 - Local Conditions,8.674167,PM25 Annual 2012
Arkansas,34.756189,-92.281296,PM2.5 - Local Conditions,9.487989,PM25 Annual 2012
Arkansas,34.756189,-92.281296,PM2.5 - Local Conditions,10.006897,PM25 Annual 2012
