state,city,latitude,longitude,pollutant,average
California,Long Beach,33.792359999999995,-118.17533,PM2.5 - Local Conditions,9.239266
California,Long Beach,33.859662,-118.20070700000001,PM2.5 - Local Conditions,11.013611000000001
California,Lancaster,34.669739,-118.13051100000001,PM2.5 - Local Conditions,6.133889
California,Madera,36.953256,-120.034203,PM2.5 - Local Conditions,8.863332999999997
California,Merced,37.30832,-120.480456,PM2.5 - Local Conditions,9.553333
California,Grass Valley,39.233477,-121.055608,PM2.5 - Local Conditions,4.221667
California,Truckee,39.32783,-120.184592,PM2.5 - Local Conditions,5.324107
California,Anaheim,33.83062,-117.93845,PM2.5 - Local Conditions,9.402305
California,Anaheim,33.83062,-117.93845,PM2.5 - Local Conditions,9.325145
California,Mission Viejo,33.63003,-117.67593000000001,PM2.5 - Local Conditions,7.139639999999999
California,Auburn,38.93568,-121.09958999999999,PM2.5 - Local Conditions,7.1626059999999985
California,Roseville,38.74643,-121.26498000000001,PM2.5 - Local Conditions,6.5627119999999985
California,Quincy,39.939567,-120.944376,PM2.5 - Local Conditions,7.7271899999999984
California,Portola,39.81336,-120.47069,PM2.5 - Local Conditions,12.162376
California,,33.447866999999995,-117.088649,PM2.5 - Local Conditions,4.573451
California,Joshua Tree National Monument,33.747236,-115.820124,PM2.5 - Local Conditions,5.182182
California,Indio,33.71969,-116.1897,PM2.5 - Local Conditions,7.2196669999999985
California,Banning,33.944713,-116.830074,PM2.5 - Local Conditions,7.305028
California,Indio,33.70853,-116.21537,PM2.5 - Local Conditions,7.369491999999998
California,Palm Springs,33.85275,-116.54101000000001,PM2.5 - Local Conditions,6.073109
California,Rubidoux,33.99958,-117.41601000000001,PM2.5 - Local Conditions,11.193143
California,Rubidoux,33.99958,-117.41601000000001,PM2.5 - Local Conditions,11.065616
California,Mira Loma,33.99636,-117.4924,PM2.5 - Local Conditions,12.691292
California,Mira Loma,33.99636,-117.4924,PM2.5 - Local Conditions,12.572958
California,Arden-Arcade,38.613779,-121.36801399999999,PM2.5 - Local Conditions,8.398529
California,Sacramento,38.56844,-121.49311000000002,PM2.5 - Local Conditions,7.652100999999999
California,Sacramento,38.593322,-121.503795,PM2.5 - Local Conditions,8.385964999999999
California,Ontario,34.030833,-117.61721999999999,PM2.5 - Local Conditions,12.66392
California,Ontario,34.030833,-117.61721999999999,PM2.5 - Local Conditions,12.791501
California,Victorville,34.510961,-117.32553999999999,PM2.5 - Local Conditions,7.030312
California,Fontana,34.10002,-117.49201000000001,PM2.5 - Local Conditions,10.861403999999999
California,Fontana,34.10002,-117.49201000000001,PM2.5 - Local Conditions,11.473913
California,Big Bear City,34.26464,-116.86147,PM2.5 - Local Conditions,5.756522
California,San Bernardino,34.106677999999995,-117.27406299999998,PM2.5 - Local Conditions,10.984694000000001
California,San Bernardino,34.106677999999995,-117.27406299999998,PM2.5 - Local Conditions,10.474227
California,Chula Vista,32.631242,-117.05908799999999,PM2.5 - Local Conditions,8.202586
California,San Diego,32.845709,-117.12396399999999,PM2.5 - Local Conditions,6.983333
California,San Diego,32.985442,-117.08218000000001,PM2.5 - Local Conditions,8.597142999999999
California,El Cajon,32.789565,-116.944308,PM2.5 - Local Conditions,8.522089999999999
California,Pala,33.362593,-117.09023,PM2.5 - Local Conditions,13.752975
California,Nipomo,35.02083,-120.56388000000001,PM2.5 - Local Conditions,7.004432
California,Arroyo Grande,35.04673,-120.58776999999999,PM2.5 - Local Conditions,6.077247
California,Lompoc,34.63782,-120.4575,PM2.5 - Local Conditions,4.619774
California,Goleta,34.44551,-119.8284,PM2.5 - Local Conditions,5.012465
California,San Jose,37.348496999999995,-121.894898,PM2.5 - Local Conditions,7.876613000000001
California,Redding,40.55013,-122.38091999999999,PM2.5 - Local Conditions,6.628302000000001
California,Modesto,37.642165000000006,-120.994212,PM2.5 - Local Conditions,8.55
California,Yuba City,39.138773,-121.618549,PM2.5 - Local Conditions,8.450142
California,Visalia,36.332179,-119.291228,PM2.5 - Local Conditions,12.897345
California,Woodland,38.66121,-121.73269,PM2.5 - Local Conditions,7.715094000000001
Colorado,Littleton,39.604399,-105.019526,PM2.5 - Local Conditions,6.016102
Colorado,Longmont,40.164576000000004,-105.10085600000001,PM2.5 - Local Conditions,6.8008549999999985
Colorado,Boulder,40.021097,-105.263382,PM2.5 - Local Conditions,5.789167
Colorado,,38.8764,-107.6023,PM2.5 - Local Conditions,3.725145
Colorado,Denver,39.751184,-104.987625,PM2.5 - Local Conditions,6.545481
Colorado,Denver,39.77949,-105.00518000000001,PM2.5 - Local Conditions,6.828814
Colorado,Denver,39.73217,-105.0153,PM2.5 - Local Conditions,9.488525
Colorado,Roxborough Park,39.534488,-105.07035800000001,PM2.5 - Local Conditions,5.0677970000000006
Colorado,Battlement Mesa,39.43806,-108.02611,PM2.5 - Local Conditions,3.461096
Colorado,,37.10258,-107.87021899999999,PM2.5 - Local Conditions,2.5
Colorado,Pueblo,38.276099,-104.597613,PM2.5 - Local Conditions,4.721053
Colorado,Rangely,40.086944,-108.761389,PM2.5 - Local Conditions,7.894647999999999
Colorado,Platteville,40.209387,-104.82405,PM2.5 - Local Conditions,7.297521000000001
Connecticut,Bridgeport,41.170833,-73.194722,PM2.5 - Local Conditions,6.026667
Connecticut,Danbury,41.399167,-73.443056,PM2.5 - Local Conditions,6.0950000000000015
Connecticut,Hartford,41.771444,-72.679923,PM2.5 - Local Conditions,6.244538
Connecticut,East Hartford,41.784722,-72.63166700000001,PM2.5 - Local Conditions,5.030508
Connecticut,Cornwall,41.821342,-73.297257,PM2.5 - Local Conditions,3.8008330000000004
Connecticut,New Haven,41.3014,-72.90287099999998,PM2.5 - Local Conditions,6.259167
Connecticut,Waterbury,41.550556,-73.043611,PM2.5 - Local Conditions,6.378947
Connecticut,Groton,41.35362,-72.07882,PM2.5 - Local Conditions,5.011667
Delaware,Dover,39.155,-75.518056,PM2.5 - Local Conditions,6.246667
Delaware,,39.761111,-75.49194399999998,PM2.5 - Local Conditions,6.9554459999999985
Delaware,,39.55130000000001,-75.732,PM2.5 - Local Conditions,6.501265999999998
Delaware,Newark,39.691962,-75.761299,PM2.5 - Local Conditions,7.488118999999998
Delaware,Wilmington,39.739444,-75.55805600000001,PM2.5 - Local Conditions,7.5845889999999985
