state,city,latitude,longitude,pollutant,average
California,Colusa,39.18919,-121.99887,Ozone,0.037036
California,Concord,37.936013,-122.026154,Ozone,0.038396
California,Bethel Island,38.006311,-121.64191799999999,Ozone,0.037997
California,San Pablo,37.9604,-122.35681100000001,Ozone,0.033786000000000004
California,San Ramon,37.743649,-121.93418799999999,Ozone,0.038579
California,Placerville,38.725282,-120.82191599999999,Ozone,0.045792
California,,38.811609999999995,-120.033084,Ozone,0.046079
California,,38.890941,-121.003373,Ozone,0.049182
California,,36.705474,-119.741332,Ozone,0.047275
California,Fresno,36.78538,-119.77321,Ozone,0.044817
California,Fresno,36.841592,-119.87473899999999,Ozone,0.044385
California,,36.985119,-119.65833899999998,Ozone,0.049878
California,,36.634225,-120.38233100000001,Ozone,0.043899
California,Parlier,36.597442,-119.50365900000001,Ozone,0.049215
California,Clovis,36.819449,-119.71643300000001,Ozone,0.047682
California,,39.53387,-122.19083400000001,Ozone,0.040744
California,Eureka,40.77678,-124.17948999999999,Ozone,0.028293000000000002
California,Calexico,32.676179999999995,-115.48307,Ozone,0.049688
California,El Centro,32.79222,-115.56306,Ozone,0.038482
California,Westmorland,33.0325,-115.62361000000001,Ozone,0.037983
California,,33.213611,-115.54528,Ozone,0.024504
California,,37.360684,-118.33078300000001,Ozone,0.045067
California,,36.508611,-116.847778,Ozone,0.04907
California,Bishop,37.362137,-118.417478,Ozone,0.031621
California,,35.345607,-118.851825,Ozone,0.052062
California,Maricopa,35.051454,-119.40262,Ozone,0.051753
California,Mojave,35.050551,-118.14729399999999,Ozone,0.049967000000000004
California,Bakersfield,35.356615000000005,-119.06261299999998,Ozone,0.048223
California,Oildale,35.438035,-119.01678700000001,Ozone,0.048336000000000004
California,Bakersfield,35.331612,-118.99996100000001,Ozone,0.046271
California,Arvin,35.23918,-118.78863,Ozone,0.052147000000000006
California,Shafter,35.503587,-119.27260600000001,Ozone,0.049061
California,,36.233274,-119.76621200000001,Ozone,0.044668
California,Hanford,36.315670000000004,-119.643447,Ozone,0.045896
California,Lakeport,39.01893,-122.91333,Ozone,0.034347
