state,count,mean,std,min,25%,50%,75%,max
Alabama,17.0,8.318953882352943,0.8392121744910435,7.213235000000001,7.551401999999999,8.302679,8.705,10.310833
Alaska,9.0,9.072468888888887,2.704737377476852,6.076667,7.427439,8.377059,9.796793,15.206646999999998
Arizona,7.0,6.47817357142857,3.0237018844940082,1.881818,4.9299675,6.8924369999999975,7.670037000000001,11.372950999999999
Arkansas,13.0,8.532442230769231,0.7701235591589785,7.524489999999999,8.0075,8.278151,8.827273,10.339831
California,79.0,8.50472353164557,2.6034016091912093,3.141667,6.5955070000000005,8.398529,10.864406500000001,13.752975
Colorado,13.0,5.856631076923076,1.9412649531759123,2.5,4.7210529999999995,6.016102,6.828814,9.488525
Connecticut,8.0,5.605915875000001,0.9095475559118764,3.800833,5.02579775,6.060833500000001,6.24819525,6.378947
Delaware,5.0,6.9552173999999996,0.5891112631178422,6.2466669999999995,6.5012659999999975,6.955445999999999,7.4881189999999975,7.5845889999999985
District Of Columbia,8.0,8.23198225,0.38597181099392314,7.8685389999999975,7.95033475,8.082998,8.426000499999999,8.87135
Florida,16.0,6.5016239375,0.6892039699334755,5.304167,5.92020375,6.549785999999999,7.009511000000001,7.599167
Georgia,19.0,8.239873842105261,0.872994691202343,6.032143,7.644058999999999,8.283332999999999,8.911017000000001,9.516529
Hawaii,14.0,2.257113357142857,1.0936440456475072,-1.006569,1.9099504999999999,2.539796,2.853163,3.413313
Idaho,9.0,7.711405666666666,2.3245621560541245,3.927479,5.793947999999999,8.207825999999999,9.655682,10.070808999999999
Illinois,20.0,8.9949968,1.0508923902489828,7.542609,8.1897745,9.034057,9.386026750000001,11.235714
Indiana,29.0,8.878872344827585,1.0571154227681938,7.405556,8.124138,8.620339,9.357142999999999,11.947826
Iowa,18.0,7.662621555555556,0.6790386182830772,6.426316,7.2445865,7.7002815,8.129224,8.971667
Kansas,3.0,6.769062999999999,1.276494349892313,5.300612,6.346776499999999,7.392940999999999,7.503288499999999,7.613636
Kentucky,16.0,7.412974062499999,0.879957558391651,5.683471,6.97049575,7.543879500000001,7.677928499999998,9.365289
Louisiana,14.0,8.034200785714285,1.021340823461092,6.790435,7.4879672500000005,7.7434565,8.347446499999998,10.695798
Maine,10.0,4.9504189,0.8647801454726256,3.327928,4.5419725,4.991207,5.3838785,6.581034
Maryland,4.0,7.8987725,0.7537154131591487,6.769421,7.8682175,8.252834499999999,8.2833895,8.32
Massachusetts,11.0,5.133052,0.3921369585629491,4.535714,4.898229,5.1522120000000005,5.3997475,5.702632
Michigan,17.0,7.803160764705882,1.276175108099567,4.981633,7.1228570000000015,7.6230769999999985,8.268908,10.778095
Minnesota,10.0,6.790725499999999,1.4269035958493597,4.1,6.77413825,7.043657499999999,7.374451249999998,8.983333
Mississippi,1.0,8.16087,,8.16087,8.16087,8.16087,8.16087,8.16087
Missouri,1.0,9.118362,,9.118362,9.118362,9.118362,9.118362,9.118362
Montana,3.0,2.3864116666666666,1.285061960921859,0.915,1.9355000000000002,2.9560000000000004,3.1221175,3.288235
Nebraska,6.0,6.0928955,0.9011803172854473,4.8353980000000005,5.419616249999999,6.498276,6.70911525,6.885965
Nevada,8.0,5.2898045,1.1775476297448504,3.841011,4.4131409999999995,4.9617854999999995,6.17778075,7.1339130000000015
New Hampshire,5.0,4.287425000000001,1.1867545679347518,3.24,3.33578,4.325234,4.344444,6.191667
New Jersey,17.0,7.28780982352941,0.95114066703664,5.553097,6.746154,7.1389830000000005,7.854700999999999,9.057522
New Mexico,9.0,5.870614777777778,1.563319182111636,2.874294,4.951976999999999,6.366667,6.8736989999999984,7.733333
New York,22.0,6.5311105909090905,1.328089681821355,2.846,5.918641249999999,6.619323499999999,7.320832999999999,8.613223
North Carolina,12.0,7.212124083333333,0.9300861171707272,5.717391,6.5280872500000005,7.4922049999999984,7.805787249999999,8.6
North Dakota,1.0,5.260331,,5.260331,5.260331,5.260331,5.260331,5.260331
Ohio,43.0,8.276092651162791,1.1167819585117662,6.240984,7.4992855,8.165000000000001,8.888289499999999,11.73
Oklahoma,7.0,7.363567857142857,0.6219211682703925,6.781667,6.9365255,7.167742,7.688071999999999,8.346371000000001
Oregon,13.0,8.070008307692307,1.392366207683907,6.486777,6.851667,7.631896999999999,9.198165,10.442936
Pennsylvania,22.0,8.715306499999999,1.128454152615268,6.8137929999999995,8.13452,8.558992,8.84366425,12.162185
Puerto Rico,7.0,6.505402857142856,0.8270993545728401,5.303571,5.919416,6.820513,7.0438624999999995,7.4871789999999985
Rhode Island,4.0,5.8116715,1.8968128336796086,3.922701,4.635220499999999,5.507731,6.684182,8.308523
South Carolina,11.0,7.552915363636362,0.3966336247168848,6.93697,7.2247379999999986,7.633871000000001,7.776508999999999,8.174336
South Dakota,3.0,5.552579333333334,0.48637735722824665,4.996721,5.378869,5.761017,5.8305085000000005,5.9
Tennessee,12.0,7.802612416666666,0.4080634356488444,7.343332999999999,7.497034,7.647107499999999,8.053231,8.495628
Texas,23.0,8.26431252173913,1.381141368901456,5.642816000000002,7.5113889999999985,8.242535,8.658395999999998,10.694986
Utah,15.0,5.924586,1.904305242184591,0.603333,5.360514,6.013565,6.8662665,9.003561999999997
Vermont,2.0,4.7279385000000005,1.826338728972394,3.436522,4.08223025,4.7279385000000005,5.37364675,6.019355
Virgin Islands,1.0,8.218283999999999,,8.218283999999999,8.218283999999999,8.218283999999999,8.218283999999999,8.218283999999999
Virginia,18.0,6.897253222222221,0.5150784537051046,6.2521010000000015,6.52723775,6.766625,7.1722505,7.9803419999999985
Washington,3.0,7.805554333333333,1.624766015822073,5.937624,7.262756499999999,8.587888999999999,8.7395195,8.89115
West Virginia,13.0,8.042143384615384,0.9466692837264182,6.986555,7.27027,7.771698,8.833912999999997,9.599145
Wisconsin,2.0,7.361397999999999,0.9193477099868133,6.711321000000001,7.0363595,7.361397999999999,7.6864365,8.011474999999999
Wyoming,14.0,3.833898857142857,1.483480695574632,1.830063,2.8335255,3.7477454999999997,4.2122305,7.655556
