State Code,County Code,Site Num,state,city,latitude,longitude,pollutant,average
4,27,8011,Arizona,Yuma,32.690278,-114.61443999999999,Ozone,0.045661
5,19,9991,Arkansas,,34.179500000000004,-93.0988,Ozone,0.037567
5,35,5,Arkansas,Marion,35.197288,-90.193141,Ozone,0.042022000000000004
5,101,2,Arkansas,,35.832726,-93.20826,Ozone,0.03924
5,113,3,Arkansas,Mena,34.454514,-94.143521,Ozone,0.0415
5,119,7,Arkansas,North Little Rock,34.756189,-92.281296,Ozone,0.035541
5,119,1002,Arkansas,North Little Rock,34.835721,-92.260581,Ozone,0.040164
5,143,5,Arkansas,Springdale,36.1797,-94.116827,Ozone,0.039985
5,143,6,Arkansas,Fayetteville,36.011703000000004,-94.167436,Ozone,0.039985
6,1,7,California,Livermore,37.687526,-121.784217,Ozone,0.038917
6,1,9,California,Oakland,37.743065,-122.16993500000001,Ozone,0.029316000000000002
6,1,11,California,Oakland,37.814781,-122.282347,Ozone,0.028869
6,1,13,California,,37.864767,-122.302741,Ozone,0.024943
6,1,2001,California,Hayward,37.654456,-122.031547,Ozone,0.035868000000000004
6,5,2,California,Jackson,38.342606,-120.764426,Ozone,0.041903
6,7,7,California,,39.708454,-121.617309,Ozone,0.044587
6,7,8,California,Chico,39.76168,-121.84047,Ozone,0.040308
6,9,1,California,San Andreas,38.20185,-120.680277,Ozone,0.043594
6,11,1002,California,Colusa,39.18919,-121.99887,Ozone,0.037036
6,13,2,California,Concord,37.936013,-122.026154,Ozone,0.038396
6,13,1002,California,Bethel Island,38.006311,-121.64191799999999,Ozone,0.037997
6,13,1004,California,San Pablo,37.9604,-122.35681100000001,Ozone,0.033786000000000004
6,13,2007,California,San Ramon,37.743649,-121.93418799999999,Ozone,0.038579
6,17,10,California,Placerville,38.725282,-120.82191599999999,Ozone,0.045792
6,17,12,California,,38.811609999999995,-120.033084,Ozone,0.046079
6,17,20,California,,38.890941,-121.003373,Ozone,0.049182
6,19,7,California,,36.705474,-119.741332,Ozone,0.047275
6,19,11,California,Fresno,36.78538,-119.77321,Ozone,0.044817
6,19,242,California,Fresno,36.841592,-119.87473899999999,Ozone,0.044385
6,19,500,California,,36.985119,-119.65833899999998,Ozone,0.049878
6,19,2009,California,,36.634225,-120.38233100000001,Ozone,0.043899
6,19,4001,California,Parlier,36.597442,-119.50365900000001,Ozone,0.049215
6,19,5001,California,Clovis,36.819449,-119.71643300000001,Ozone,0.047682
6,21,3,California,,39.53387,-122.19083400000001,Ozone,0.040744
6,23,1004,California,Eureka,40.77678,-124.17948999999999,Ozone,0.028293000000000002
6,25,5,California,Calexico,32.676179999999995,-115.48307,Ozone,0.049688
6,25,1003,California,El Centro,32.79222,-115.56306,Ozone,0.038482
6,25,4003,California,Westmorland,33.0325,-115.62361000000001,Ozone,0.037983
6,25,4004,California,,33.213611,-115.54528,Ozone,0.024504
6,27,2,California,,37.360684,-118.33078300000001,Ozone,0.045067
6,27,101,California,,36.508611,-116.847778,Ozone,0.04907
6,27,1023,California,Bishop,37.362137,-118.417478,Ozone,0.031621
6,29,7,California,,35.345607,-118.851825,Ozone,0.052062
6,29,8,California,Maricopa,35.051454,-119.40262,Ozone,0.051753
6,29,11,California,Mojave,35.050551,-118.14729399999999,Ozone,0.049967000000000004
6,29,14,California,Bakersfield,35.356615000000005,-119.06261299999998,Ozone,0.048223
6,29,232,California,Oildale,35.438035,-119.01678700000001,Ozone,0.048336000000000004
6,29,2012,California,Bakersfield,35.331612,-118.99996100000001,Ozone,0.046271
6,29,5002,California,Arvin,35.23918,-118.78863,Ozone,0.052147000000000006
6,29,6001,California,Shafter,35.503587,-119.27260600000001,Ozone,0.049061
6,31,500,California,,36.233274,-119.76621200000001,Ozone,0.044668
6,31,1004,California,Hanford,36.315670000000004,-119.643447,Ozone,0.045896
6,33,3002,California,Lakeport,39.01893,-122.91333,Ozone,0.034347
6,37,2,California,Azusa,34.136500000000005,-117.92391,Ozone,0.049508
6,37,16,California,Glendora,34.14435,-117.85036000000001,Ozone,0.051565999999999994
6,37,113,California,West Los Angeles,34.051109999999994,-118.45636,Ozone,0.043274
6,37,1103,California,Los Angeles,34.066590000000005,-118.22688000000001,Ozone,0.03877
6,37,1201,California,Reseda,34.19925,-118.53276000000001,Ozone,0.051896000000000005
6,37,1302,California,Compton,33.901389,-118.205,Ozone,0.039282
6,37,1602,California,Pico Rivera,34.010290000000005,-118.0685,Ozone,0.044847000000000005
6,37,1701,California,Pomona,34.067029999999995,-117.7514,Ozone,0.040784
6,37,2005,California,Pasadena,34.132600000000004,-118.1272,Ozone,0.048939
6,37,4006,California,Long Beach,33.8025,-118.22,Ozone,0.035498
6,37,5005,California,Los Angeles,33.95507,-118.43049,Ozone,0.042017
6,37,6012,California,Santa Clarita,34.38344,-118.5284,Ozone,0.05304299999999999
6,37,9033,California,Lancaster,34.669739,-118.13051100000001,Ozone,0.048544
6,39,4,California,Madera,36.867125,-120.010158,Ozone,0.04481
6,39,2010,California,Madera,36.953256,-120.034203,Ozone,0.046
6,41,1,California,San Rafael,37.97231,-122.520004,Ozone,0.032642000000000004
6,43,3,California,,37.71325,-119.7062,Ozone,0.048511
6,43,6,California,,37.54377,-119.83957,Ozone,0.054535
6,45,8,California,Ukiah,39.14566,-123.20298000000001,Ozone,0.031063
6,47,3,California,,37.281853000000005,-120.43367099999999,Ozone,0.044598
6,53,2,California,Carmel Valley Village,36.48187,-121.73333000000001,Ozone,0.034575
6,53,8,California,King City,36.209286,-121.12637099999999,Ozone,0.037828
6,53,1003,California,Salinas,36.694261,-121.623271,Ozone,0.034989
6,55,4,California,Napa,38.278849,-122.275024,Ozone,0.036303
6,57,5,California,Grass Valley,39.233477,-121.055608,Ozone,0.047082
6,59,7,California,Anaheim,33.83062,-117.93845,Ozone,0.04185
6,59,2022,California,Mission Viejo,33.63003,-117.67593000000001,Ozone,0.048811
6,59,5001,California,La Habra,33.92513,-117.95263999999999,Ozone,0.041991
6,61,3,California,Auburn,38.93568,-121.09958999999999,Ozone,0.045803
6,61,4,California,Colfax,39.100174,-120.953832,Ozone,0.044849
6,61,6,California,Roseville,38.74643,-121.26498000000001,Ozone,0.039364
6,61,1004,California,Tahoe City,39.166017,-120.14883300000001,Ozone,0.04515
6,61,2003,California,Lincoln,38.867937,-121.338353,Ozone,0.043293
6,65,9,California,,33.447866999999995,-117.088649,Ozone,0.049476
6,65,10,California,Joshua Tree National Monument,33.747236,-115.820124,Ozone,0.047704
6,65,12,California,Banning,33.92086,-116.85841,Ozone,0.055096000000000006
6,65,16,California,,33.583018,-117.072202,Ozone,0.050909
6,65,500,California,Indio,33.71969,-116.1897,Ozone,0.051845
6,65,1004,California,Joshua Tree National Monument,33.9397,-115.4108,Ozone,0.048558
6,65,1010,California,,33.590833,-116.088333,Ozone,0.038247
6,65,1016,California,Banning,33.944713,-116.830074,Ozone,0.054582000000000006
6,65,2002,California,Indio,33.70853,-116.21537,Ozone,0.054477
6,65,5001,California,Palm Springs,33.85275,-116.54101000000001,Ozone,0.051963
6,65,6001,California,Perris,33.78942,-117.22764,Ozone,0.052447
6,65,8001,California,Rubidoux,33.99958,-117.41601000000001,Ozone,0.05155
6,65,8005,California,Mira Loma,33.99636,-117.4924,Ozone,0.051723000000000005
6,65,9001,California,Lake Elsinore,33.67649,-117.33098000000001,Ozone,0.04966
6,65,9003,California,Blythe,33.61235,-114.60208999999999,Ozone,0.037630000000000004
6,67,2,California,,38.71209,-121.38108999999999,Ozone,0.041119
6,67,6,California,Arden-Arcade,38.613779,-121.36801399999999,Ozone,0.040587
6,67,10,California,Sacramento,38.56844,-121.49311000000002,Ozone,0.037709
6,67,11,California,,38.302591,-121.42083799999999,Ozone,0.040924
6,67,12,California,Folsom,38.683304,-121.16445700000001,Ozone,0.044777
6,67,5003,California,,38.494475,-121.21113100000001,Ozone,0.040526
6,69,2,California,Hollister,36.843425,-121.3621,Ozone,0.037791000000000005
6,69,3,California,,36.48324,-121.15688,Ozone,0.042081
6,71,1,California,Barstow,34.89398,-117.024804,Ozone,0.048872000000000006
6,71,5,California,Crestline,34.2431,-117.27235,Ozone,0.058522000000000005
6,71,12,California,,34.4251,-117.5898,Ozone,0.053079
