state_code,county_code,site_num,latitude,longitude,parameter_name_x,sample_duration_x,metric_used_x,units_x,mean_x,stv_x,poc_x,state_name_x,county_name_x,city_name_x,parameter_name_y,sample_duration_y,metric_used_y,units_y,mean_y,stv_y,poc_y,state_name_y,county_name_y,city_name_y
1,49,1003,34.288567,-85.969858,,,,,,,,Alabama,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),7.55,3.508534,1,Alabama,DeKalb,Crossville
1,55,10,33.991494,-85.992647,,,,,,,,Alabama,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),8.410526,3.999012,1,Alabama,Etowah,Gadsden
1,69,3,31.224783,-85.390789,,,,,,,,Alabama,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),8.115652,3.356993,1,Alabama,Houston,Dothan
1,73,2003,33.499722,-86.924167,,,,,,,,Alabama,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),8.705,3.555251,1,Alabama,Jefferson,Birmingham
1,73,2059,33.521427,-86.844112,,,,,,,,Alabama,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),9.435593,4.373894,1,Alabama,Jefferson,Birmingham
1,125,4,33.189931,-87.484189,,,,,,,,Alabama,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),7.941964,3.348864,1,Alabama,Tuscaloosa,Tuscaloosa
2,68,3,63.7232,-148.9676,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.036373,0.009042,1,Alaska,Denali ,,,,,,,,,,,
2,90,34,64.84569,-147.727413,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.027803,0.012068,1,Alaska,Fairbanks North Star ,Fairbanks,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),6.963158,6.171536,1,Alaska,Fairbanks North Star ,Fairbanks
2,90,34,64.84569,-147.727413,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.027803,0.012068,1,Alaska,Fairbanks North Star ,Fairbanks,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),9.796793,18.551131,1,Alaska,Fairbanks North Star ,Fairbanks
2,90,10,64.840672,-147.722461,,,,,,,,Alaska,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),8.377059,8.778531,1,Alaska,Fairbanks North Star ,Fairbanks
2,90,10,64.840672,-147.722461,,,,,,,,Alaska,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),7.427439,6.730868,1,Alaska,Fairbanks North Star ,Fairbanks
2,90,35,64.762973,-147.310297,,,,,,,,Alaska,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),15.206647,33.371474,1,Alaska,Fairbanks North Star ,
2,90,35,64.762973,-147.310297,,,,,,,,Alaska,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),10.804854,13.307007,1,Alaska,Fairbanks North Star ,
2,90,40,64.84593,-147.69327,,,,,,,,Alaska,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),8.274797,7.415862,1,Alaska,Fairbanks North Star ,Fairbanks
2,90,40,64.84593,-147.69327,,,,,,,,Alaska,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),8.724806,7.649868,1,Alaska,Fairbanks North Star ,Fairbanks
2,170,8,61.534163,-149.031655,,,,,,,,Alaska,,,PM2.5 - Local Conditions,24 HOUR,Daily Mean,Micrograms/cubic meter (LC),6.076667,6.430973,1,Alaska,Matanuska-Susitna ,
4,3,8001,32.00941,-109.38906,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.050867,0.008984,1,Arizona,Cochise,,,,,,,,,,,
4,5,1008,35.206111,-111.652777,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.049754,0.007142,1,Arizona,Coconino,Flagstaff,,,,,,,,,,
4,5,8001,36.05864,-112.1836,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.05087,0.006603,1,Arizona,Coconino,Grand Canyon Village,,,,,,,,,,
4,7,10,33.6547,-111.1074,Ozone,1 HOUR,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Parts per million,0.055873,0.01366,1,Arizona,Gila,Tonto National Monument,,,,,,,,,,
